自治体,人口,経度,緯度
島田市,95719,138.176055,34.836417
富士市,245392,138.676311,35.161386
磐田市,166672,137.851511,34.717881
焼津市,136845,138.322812,34.86717
掛川市,114954,137.998403,34.768717
藤枝市,141342,138.257548,34.867349
御殿場市,86614,138.934506,35.308615
袋井市,87864,137.924624,34.75016
下田市,20183,138.945316,34.679536
裾野市,50911,138.906724,35.173891
湖西市,57885,137.531617,34.718474
伊豆市,28190,138.946715,34.976591
御前崎市,31103,138.128117,34.637977
菊川市,47789,138.084539,34.757721
伊豆の国市,46804,138.928885,35.027713
牧之原市,43502,138.224641,34.740059
東伊豆町,11488,139.041265,34.772816
河津町,6870,138.987622,34.757018
南伊豆町,7877,138.858533,34.651089
松崎町,6038,138.778757,34.752763
西伊豆町,7090,138.775334,34.771693
函南町,36794,138.953348,35.088937
清水町,31710,138.90272,35.099015
長泉町,43336,138.897258,35.137712
小山町,18568,138.987296,35.36011
吉田町,28919,138.251943,34.77087
川根本町,6206,138.081695,35.046822
森町,17457,137.927088,34.835601
名古屋市,2332176,136.906421,35.181433
豊橋市,371920,137.391469,34.769199
岡崎市,384654,137.172999,34.954809
半田市,117884,136.93785,34.892626
豊川市,184661,137.375578,34.826784
津島市,60942,136.741236,35.17704
碧南市,72458,136.993362,34.884782
刈谷市,153834,137.00206,34.988864
豊田市,422330,137.156224,35.082345
安城市,187990,137.080297,34.958644
西尾市,169046,137.061741,34.862009
蒲郡市,79538,137.219653,34.826439
常滑市,58710,136.854483,34.896088
新城市,44355,137.497858,34.899012
東海市,113787,136.902229,35.022976
大府市,93123,136.963868,35.011611
知多市,84364,136.864755,34.996533
知立市,72193,137.050843,35.001285
高浜市,46106,136.98766,34.92763
豊明市,69295,137.013124,35.053756
日進市,91520,137.039414,35.132018
田原市,59360,137.26383,34.668972
愛西市,60829,136.728217,35.152802
弥富市,43025,136.72477,35.110124
みよし市,61952,137.074728,35.089699
あま市,86126,136.783227,35.200498
長久手市,60162,137.048631,35.18412
東郷町,43903,137.052623,35.09679
大治町,32399,136.8201,35.175089
蟹江町,37338,136.786679,35.132339
飛島村,4575,136.791157,35.078804
阿久比町,28383,136.915512,34.932569
東浦町,49596,136.965569,34.977139
南知多町,16617,136.929934,34.715169
美浜町,22496,136.908251,34.778843
武豊町,43535,136.914937,34.85097
幸田町,42449,137.165667,34.864425
設楽町,4437,137.571225,35.097298
東栄町,2942,137.697833,35.07693
伊勢市,122765,136.709286,34.487506
桑名市,138613,136.683539,35.062288
尾鷲市,16252,136.190998,34.070799
鳥羽市,17525,136.843378,34.481432
熊野市,15965,136.100288,33.88862
志摩市,46057,136.829655,34.328218
木曽岬町,6023,136.731353,35.075958
大紀町,7815,136.415798,34.358023
南伊勢町,10989,136.70365,34.352059
紀北町,14604,136.337275,34.211469
